Series,Category_Key,Best_Model,CV_RMSE,CV_MAPE,Date,Forecast
B_A_N,B_A_N,SeasonalNaive,89045.55,2.59,2017-04,2491766.0
B_A_N,B_A_N,SeasonalNaive,89045.55,2.59,2017-05,4061467.0
B_A_N,B_A_N,SeasonalNaive,89045.55,2.59,2017-06,2603189.0
B_A_N,B_A_N,SeasonalNaive,89045.55,2.59,2017-07,2498027.0
B_A_N,B_A_N,SeasonalNaive,89045.55,2.59,2017-08,3616878.0
B_G_H,B_G_H,"ETS(M,A,M)",185805.73,5.85,2016-09,2825905.82
B_G_H,B_G_H,"ETS(M,A,M)",185805.73,5.85,2016-10,1822451.06
B_G_H,B_G_H,"ETS(M,A,M)",185805.73,5.85,2016-11,2236326.71
B_G_H,B_G_H,"ETS(M,A,M)",185805.73,5.85,2016-12,3017257.39
B_G_H,B_G_H,"ETS(M,A,M)",185805.73,5.85,2017-01,1992973.07
B_G_H,B_G_H,"ETS(M,A,M)",185805.73,5.85,2017-02,2092848.97
B_G_H,B_G_H,"ETS(M,A,M)",185805.73,5.85,2017-03,3049042.7
B_G_H,B_G_H,"ETS(M,A,M)",185805.73,5.85,2017-04,2203330.38
B_G_H,B_G_H,"ETS(M,A,M)",185805.73,5.85,2017-05,1828539.76
B_G_H,B_G_H,"ETS(M,A,M)",185805.73,5.85,2017-06,2807463.25
B_G_H,B_G_H,"ETS(M,A,M)",185805.73,5.85,2017-07,1813432.61
B_G_H,B_G_H,"ETS(M,A,M)",185805.73,5.85,2017-08,2113550.33
B_G_F,B_G_F,SeasonalNaive,346991.27,12.68,2016-09,2565501.0
B_G_F,B_G_F,SeasonalNaive,346991.27,12.68,2016-10,1707365.0
B_G_F,B_G_F,SeasonalNaive,346991.27,12.68,2016-11,2038131.0
B_G_F,B_G_F,SeasonalNaive,346991.27,12.68,2016-12,2721569.0
B_G_F,B_G_F,SeasonalNaive,346991.27,12.68,2017-01,1894881.0
B_G_F,B_G_F,SeasonalNaive,346991.27,12.68,2017-02,2060413.0
B_G_F,B_G_F,SeasonalNaive,346991.27,12.68,2017-03,3148990.0
B_G_F,B_G_F,SeasonalNaive,346991.27,12.68,2017-04,2242524.0
